Meeting,No.,Ag. Items,Ag. Items.1,Ag. Items.2,Title,Submitted By,Submitted By.1,Submitted By.2,Submitted By.3,Submitted By.4,Submitted By.5,Submitted By.6,Submitted By.7,Submitted By.8,Submitted By.9,Submitted By.10,Submitted By.11,Submitted By.12,Submitted By.13,E,S,F,R,Attachments
ATCM XLIII - CEP XXIII (2021),IP089,CEP 10a,,,"Eradication of a non-native grass Poa annua L. from the Western Shore of Admiralty Bay, King George Island, South Shetland Islands – update 2020/2021",Poland,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP090,ATCM 6b,,,"Adoption of the Polish Polar Policy. From Past Expeditions to Future Challenges
",Poland,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP091,CEP 8a,,,"The Initial Responses to the Comments on the Draft CEE for the Construction and Operation of the Turkish Antarctic Research Station (TARS) at Horseshoe Island, Antarctica",Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP092,ATCM 13,,,Autonomous Science Operations at Halley Research Station,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP093,ATCM 4,CEP 5,,WMO Annual Report,WMO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP094,ATCM 15a,,,Winter Targeted Observing Periods and Further Plans of the Year of Polar Prediction in the Southern Hemisphere (YOPP-SH),WMO,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP095,ATCM 15a,CEP 5,,Antarctic Regional Climate Centre Network: the scope and concept,WMO,,,,,,,,,,,,,,X,,,,"WMO AntRCC Appendix
"
ATCM XLIII - CEP XXIII (2021),IP096,ATCM 17,CEP 8b,,"Framework for assessing ‘New, Novel or Particularly Concerning Activities’",United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP097,CEP 8b,,,Update and CEE Compliance Report: Rothera Wharf Reconstruction and Coastal Stabilisation Project ,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP098,CEP 10a,,,Detection and eradication of a non-native Lepidoptera incursion in a food deposit at Carlini Station,Argentina,Germany,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP099,CEP 9c,,,Tourism Management Policy for Esperanza Antarctic Station,Argentina,,,,,,,,,,,,,,X,X,,,"Visitor guideline for Esperanza Station
"
ATCM XLIII - CEP XXIII (2021),IP100,CEP 9e,,,Deception Island Antarctic Specially Managed Area (ASMA No. 4) – 2019/2021 Management report,Argentina,Chile,Norway,Spain,United Kingdom,United States,ASOC,IAATO,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP101,CEP 9e,,,Evaluation of Ecosystem Services and preliminary identification of their trade-offs,Spain,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP102,CEP 8a,,,"Preparation of a Comprehensive Environmental Evaluation for the proposed construction and operation of an aerodrome near Australia’s Davis research station 
(the Davis Aerodrome Project)
",Australia,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP103,ATCM 13,,,"
Modernisation of Australia’s Antarctic Program
",Australia,,,,,,,,,,,,,,X,,,,"Davis Aerodrome Project Fact Sheet
"
ATCM XLIII - CEP XXIII (2021),IP104,ATCM 17,CEP 9e,,Guidance on Short Overnight Stays: Consistency and Coordination through Knowledge Sharing,United States,Canada,,,,,,,,,,,,,X,,,,"Attachment A: Questionnaire
"
ATCM XLIII - CEP XXIII (2021),IP105,ATCM 6b,,,Notification of the Intention of Canada to request recognition of Consultative Party status,Canada,,,,,,,,,,,,,,X,,X,,
ATCM XLIII - CEP XXIII (2021),IP106,CEP 13,,,The Ice Memory Programme,France,Italy,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP107,ATCM 15a,,,"Report about 2020-2021  Antarctic Summer Campaign Uruguayan National Antarctic Program
",Uruguay,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP108,ATCM 13,,,Protocolo sanitario aplicable a ciudadanos nacionales y extranjeros que participaron de actividades en la Campaña Antártica 2020-2021 ,Uruguay,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP109,ATCM 17,ATCM 4,,Report of the International Association of Antarctica Tour Operators 2020-21,IAATO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP110,ATCM 17,,,"IAATO Overview of Antarctic Tourism: A Historical Review of Growth, the 2020-21 Season, and Preliminary Estimates for 2021-22
",IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP111,ATCM 17,CEP 9c,,A Five-Year Overview and 2020–21 Season Report on IAATO Operator Use of Antarctic Peninsula Landing Sites and ATCM Visitor Site Guidelines,IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP112,ATCM 15a,,,Avances en la participación de Colombia en el SCAR,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP113,ATCM 15a,CEP 13,,"Adhesión de Colombia al Protocolo del Tratado Antártico sobre Protección del Medio Ambiente: Retos y Oportunidades
",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP114,ATCM 11,,,Primer Congreso Internacional “Colombia y su proyección en la Antártida”,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP115,ATCM 15a,,,"VII Expedición Científica de Colombia a la Antártica, verano austral 2020-2021
",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP116,ATCM 15a,,,"Determinación del aporte de la presión Atmosférica sobre las variaciones del nivel del mar en la Antártica, verano austral 2020-2021
",Colombia,Ecuador,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP117,ATCM 6b,,,"Colombia, Miembro Observador del Consejo de Administradores de los Programas Antárticos Nacionales (COMNAP)",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP118,ATCM 13,,,Implementación de una Turbina Eólica en la Antártica,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP119,ATCM 15a,,,Cooperación de Colombia con la Comisión para la Conservación de los Recursos Vivos Marinos Antárticos (CCRVMA): Implementación Voluntaria de la Medida de Conservación 10-05 (2018),Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP120,ATCM 15a,,,Cooperación Internacional para el Estudio de Mamíferos Marinos en el Pacífico Sudeste y la Antártica,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP121,ATCM 6b,,,Fortalecimiento del Programa Antártico Colombiano (PAC),Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP122,ATCM 11,,,"Resultados XIX Encuentro de Historiadores Antárticos Latinoamericanos y I Feria de Historia Antártica Latinoamericana

",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP123,ATCM 15a,,,"Cooperación entre Colombia y Argentina sobre análisis magnetoeléctrico en tectónica: Instalación de una Estación Geofísica Permanente en la Base Antártica Isla Marambio
",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP124,CEP 8b,,,Procedimiento implementado en el marco del Programa Antártico Colombiano para la evaluación de impacto ambiental de las actividades desarrolladas en el área del Tratado Antártico,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP125,ATCM 13,,,"Gestión y eliminación de residuos a bordo del buque ARC “20 de Julio”, en el marco de las expediciones científicas de Colombia a la Antártica",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP126,ATCM 15a,,,Aportes de Colombia a la Investigación Antártica: Publicaciones Científicas,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP127,ATCM 13,,,"Comunicaciones Satelitales de la Fuerza Área Colombiana (FAC) en la Antártica
",Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP128,ATCM 13,,,"Brazilian Antarctic Operation (OPERANTAR) - OPERANTAR XXXIX (2020/2021) and OPERANTAR XL (2021/2022)
",Brazil,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP129,ATCM 11,,,New Ferraz Station book and stamp,Brazil,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP130,ATCM 13,,,Comandante Ferraz Antarctic Station,Brazil,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP131,ATCM 11,,,PROANTAR Education & Outreach Activities,Brazil,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP132,ATCM 13,,,Brazilian Hydrographic Surveying of Antarctic Waters,Brazil,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP133,CEP 9a,,,"Progress in the revision process of the Management Plan for Antarctic Specially Managed Area Nº 1, Admiralty Bay",Brazil,Ecuador,Peru,Poland,United States,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP134,ATCM 13,CEP 9e,,Vigilancia volcánica de la isla Decepción durante la campaña antártica española 2020-2021,Spain,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP135,CEP 9b,,,Development of draft Antarctic Terrestrial and Underwater Archaeology Best Practice guidelines,SCAR,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP136,ATCM 15a,,,The Southern Ocean contribution to the United Nations Decade of Ocean Science for Sustainable Development,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP137,CEP 11,,,Persistent Organic Chemicals in Antarctica: A horizon scan of priority challenges,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP138,ATCM 13,,,On the work of the Russian Antarctic Expedition during the COVID-19 pandemic: lessons from the 2020–2021 season,Russian Federation,,,,,,,,,,,,,,X,,,X,
ATCM XLIII - CEP XXIII (2021),IP139,ATCM 14,,,Response to Australia's 2019/2020 Inspection Observations,Russian Federation,,,,,,,,,,,,,,X,,,X,
ATCM XLIII - CEP XXIII (2021),IP140,ATCM 17,,,Participation of a Russian scientist in Heritage Expeditions voyage,Russian Federation,,,,,,,,,,,,,,X,,,X,
ATCM XLIII - CEP XXIII (2021),IP141,ATCM 11,,,Celebrating the bicentennial of the discovery of Antarctica,Russian Federation,ASOC,,,,,,,,,,,,,X,,,X,
ATCM XLIII - CEP XXIII (2021),IP142,ATCM 15a,,,Report on the scientific activity of the Argentine Antarctic Institute – 2020,Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP143,CEP 4,,,Committee for Environmental Protection (CEP): summary of activities during the 2019/21 intersessional period,Norway,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP144,ATCM 14,CEP 12,,Summary of the intersessional discussion on inspection reports under Article VII of the Antarctic Treaty and Article 14 of the Environment Protocol,Norway,Spain,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP145,ATCM 18,,,"Preparation of the 44 th Meeting - Berlin, 2022",Germany,,,,,,,,,,,,,,X,,,,
